"","symbol","buy_date","buy_amount","buy_price","sell_date","sell_amount","sell_price","type","decision_tool","avg_percent_change","proportion_up","unique_patterns","norm_avg_value","week_rank"
"1","SIEB","2020-06-29",1,5.08,"","","","dummy","screen-pattern-match.R",1.4154,1,5,3.4973,1
"2","GMAB","2020-06-29",1,31.99,"","","","dummy","screen-pattern-match.R",1.1373,1,4,1.5451,2
"3","NRBO","2020-06-29",1,9.08,"","","","dummy","screen-pattern-match.R",1.1266,1,4,3.9998,3
"4","COOP","2020-06-29",1,12.06,"","","","dummy","screen-pattern-match.R",1.1158,1,3,2.5838,4
"5","ATOS","2020-06-29",1,3.98,"","","","dummy","screen-pattern-match.R",1.1027,1,2,1.597,5
"6","SAH","2020-06-29",1,30.07,"","","","dummy","screen-pattern-match.R",1.089,1,4,2.0653,6
"7","NERV","2020-06-29",1,3.5,"","","","dummy","screen-pattern-match.R",1.0833,1,4,4.0275,7
"8","PE","2020-06-29",1,10.62,"","","","dummy","screen-pattern-match.R",1.0698,1,6,4.3244,8
"9","EVER","2020-06-29",1,56.990002,"","","","dummy","screen-pattern-match.R",1.068,1,5,2.4175,9
"10","TSLA","2020-06-29",1,959.73999,"","","","dummy","screen-pattern-match.R",1.0663,1,3,2.2005,10
"11","SRPT","2020-06-29",1,162.630005,"","","","dummy","screen-pattern-match.R",1.066,1,3,1.6755,11
"12","AZUL","2020-06-29",1,10.95,"","","","dummy","screen-pattern-match.R",1.0658,1,4,6.4654,12
"13","CETXP","2020-06-29",1,2.095,"","","","dummy","screen-pattern-match.R",1.0639,1,3,1.9011,13
"14","KRYS","2020-06-29",1,42.599998,"","","","dummy","screen-pattern-match.R",1.0594,1,2,5.3386,14
"15","APG","2020-06-29",1,12.22,"","","","dummy","screen-pattern-match.R",1.0562,1,4,7.0811,15
"16","TLGT","2020-06-29",1,2.88,"","","","dummy","screen-pattern-match.R",1.0548,1,3,2.6853,16
"17","AKRO","2020-06-29",1,23.5,"","","","dummy","screen-pattern-match.R",1.0541,1,1,8.2375,17
"18","RVP","2020-06-29",1,6.52,"","","","dummy","screen-pattern-match.R",1.053,1,5,2.143,18
"19","WWW","2020-06-29",1,21.52,"","","","dummy","screen-pattern-match.R",1.0518,1,8,7.784,19
"20","RNWK","2020-06-29",1,1.25,"","","","dummy","screen-pattern-match.R",1.0507,1,7,5.9943,20
