symbol,buy_date,buy_amount,buy_price,sell_date,sell_amount,sell_price,type,decision_tool,avg_percent_change,proportion_up,unique_patterns,norm_avg_value,week_rank
ARCH,2020-07-06,1,29.459999,,,,dummy,screen-pattern-match.R,15.7305,0.5,6,16.9207,1
TT,2020-07-06,1,90.529999,,,,dummy,screen-pattern-match.R,8.4667,0.7,3,8.705,2
MBOT,2020-07-06,1,7.05,,,,dummy,screen-pattern-match.R,2.4284,0.5,5,29.6972,3
MYOS,2020-07-06,1,1.7,,,,dummy,screen-pattern-match.R,2.0522,0.7,6,1.51,4
MTBC,2020-07-06,1,9.55,,,,dummy,screen-pattern-match.R,1.8499,0.4,3,1.375,5
BLNK,2020-07-06,1,5.28,,,,dummy,screen-pattern-match.R,1.6713,0.3,5,0.9143,6
OTLK,2020-07-06,1,1.29,,,,dummy,screen-pattern-match.R,1.6123,1,4,2.0981,7
SOLY,2020-07-06,1,7.69,,,,dummy,screen-pattern-match.R,1.5403,0.5,5,5.8619,8
AQB,2020-07-06,1,3.1,,,,dummy,screen-pattern-match.R,1.413,0.7,2,2.0383,9
INDO,2020-07-06,1,4.1,,,,dummy,screen-pattern-match.R,1.3673,0.6,4,21.5091,10
FRSX,2020-07-06,1,1.58,,,,dummy,screen-pattern-match.R,1.3563,0.9,3,1.8888,11
AMRH,2020-07-06,1,1.56,,,,dummy,screen-pattern-match.R,1.3093,0.8,5,12.3353,12
DMAC,2020-07-06,1,7.15,,,,dummy,screen-pattern-match.R,1.3031,0.7,4,1.4718,13
BCDA,2020-07-06,1,2.35,,,,dummy,screen-pattern-match.R,1.2482,0.4,4,2.6456,14
MGTA,2020-07-06,1,7.97,,,,dummy,screen-pattern-match.R,1.2452,1,1,6.2101,15
ADIL,2020-07-06,1,1.38,,,,dummy,screen-pattern-match.R,1.2417,0.6,4,13.1214,16
ALRN,2020-07-06,1,1.16,,,,dummy,screen-pattern-match.R,1.2335,1,4,4.0039,17
MBRX,2020-07-06,1,0.928,,,,dummy,screen-pattern-match.R,1.215,0.7,4,3.6212999999999997,18
OTEL,2020-07-06,1,11.68,,,,dummy,screen-pattern-match.R,1.2077,0.6,3,1.0653,19
VUZI,2020-07-06,1,2.85,,,,dummy,screen-pattern-match.R,1.2046999999999999,0.6,4,3.0145,20
BILL,2020-07-06,1,88.400002,,,,dummy,screen-pattern-match.R,1.2034,0.9,3,7.9809,21
APTO,2020-07-06,1,6.5,,,,dummy,screen-pattern-match.R,1.199,0.7,5,3.4753,22
MITK,2020-07-06,1,9.36,,,,dummy,screen-pattern-match.R,1.1864,1,6,7.1246,23
TCRR,2020-07-06,1,15.55,,,,dummy,screen-pattern-match.R,1.1813,1,1,2.2832,24
WSG,2020-07-06,1,2.22,,,,dummy,screen-pattern-match.R,1.1733,0.8,3,5.2143,25
ARTL,2020-07-06,1,1.27,,,,dummy,screen-pattern-match.R,1.1709,0.7,6,4.643,26
SOL,2020-07-06,1,1.2,,,,dummy,screen-pattern-match.R,1.1701000000000001,0.8,5,2.4152,27
APVO,2020-07-06,1,9.18,,,,dummy,screen-pattern-match.R,1.1689,0.7,2,2.0915,28
HOVNP,2020-07-06,1,3.98,,,,dummy,screen-pattern-match.R,1.1663000000000001,0.8,4,4.3421,29
ANY,2020-07-06,1,2.97,,,,dummy,screen-pattern-match.R,1.1649,0.6,3,1.7034,30
SPN,2020-07-06,1,1,,,,dummy,screen-pattern-match.R,1.1616,0.8,1,8.4739,31
RIOT,2020-07-06,1,2.29,,,,dummy,screen-pattern-match.R,1.1595,0.2,4,5.3136,32
KTOV,2020-07-06,1,0.93,,,,dummy,screen-pattern-match.R,1.1538,0.9,2,1.8682,33
REZI,2020-07-06,1,11.33,,,,dummy,screen-pattern-match.R,1.1533,1,2,1.5218,34
AGRX,2020-07-06,1,2.83,,,,dummy,screen-pattern-match.R,1.1508,1,4,10.12,35
ARWR,2020-07-06,1,44.200001,,,,dummy,screen-pattern-match.R,1.1484,0.9,3,1.6134,36
BATL,2020-07-06,1,9.27,,,,dummy,screen-pattern-match.R,1.1482,0.8,2,2.9867,37
TCDA,2020-07-06,1,26.49,,,,dummy,screen-pattern-match.R,1.1475,0.9,3,9.9573,38
ARMP,2020-07-06,1,3.96,,,,dummy,screen-pattern-match.R,1.1471,0.4,6,2.8285,39
CRMD,2020-07-06,1,6.15,,,,dummy,screen-pattern-match.R,1.1369,0.7,3,1.7485,40
TBLT,2020-07-06,1,0.781,,,,dummy,screen-pattern-match.R,1.1365,0.8,2,2.4188,41
GALT,2020-07-06,1,2.92,,,,dummy,screen-pattern-match.R,1.1360999999999999,0.7,4,3.1997,42
NURO,2020-07-06,1,2.11,,,,dummy,screen-pattern-match.R,1.1343,0.6,8,19.4036,43
HTGM,2020-07-06,1,0.646,,,,dummy,screen-pattern-match.R,1.1324,0.7,2,3.6221,44
WYND,2020-07-06,1,29.110001,,,,dummy,screen-pattern-match.R,1.132,0.5,4,10.2061,45
APM,2020-07-06,1,3.81,,,,dummy,screen-pattern-match.R,1.131,0.7,2,4.744,46
SLGG,2020-07-06,1,2.38,,,,dummy,screen-pattern-match.R,1.1302,0.7,4,5.8534,47
NC,2020-07-06,1,23.43,,,,dummy,screen-pattern-match.R,1.1295,0.7,6,3.9401,48
ETNB,2020-07-06,1,27.6,,,,dummy,screen-pattern-match.R,1.1294,0.5,4,6.1554,49
SMIT,2020-07-06,1,3.41,,,,dummy,screen-pattern-match.R,1.123,0.8,5,1.8348,50
WAFU,2020-07-06,1,4.9,,,,dummy,screen-pattern-match.R,1.1229,0.8,4,5.7677,51
TXMD,2020-07-06,1,1.39,,,,dummy,screen-pattern-match.R,1.1228,0.6,3,5.6144,52
APLT,2020-07-06,1,33.150002,,,,dummy,screen-pattern-match.R,1.1223,0.7,4,3.4699,53
NUAN,2020-07-06,1,25.74,,,,dummy,screen-pattern-match.R,1.121,0.8,6,1.4232,54
KNSA,2020-07-06,1,23.73,,,,dummy,screen-pattern-match.R,1.1203,1,4,2.8225000000000002,55
LMNL,2020-07-06,1,16.75,,,,dummy,screen-pattern-match.R,1.1194,0.8,6,1.3084,56
DAC,2020-07-06,1,3.66,,,,dummy,screen-pattern-match.R,1.1185,0.4,5,3.4356999999999998,57
INSM,2020-07-06,1,29.57,,,,dummy,screen-pattern-match.R,1.1182,0.7,3,1.7559,58
OVID,2020-07-06,1,7.19,,,,dummy,screen-pattern-match.R,1.116,0.9,3,1.8716,59
COMM,2020-07-06,1,8.41,,,,dummy,screen-pattern-match.R,1.1159,0.7,4,3.2798,60
ATOS,2020-07-06,1,3.72,,,,dummy,screen-pattern-match.R,1.1149,0.7,4,1.7646,61
CMRX,2020-07-06,1,3.16,,,,dummy,screen-pattern-match.R,1.1146,0.7,4,4.993,62
KRMD,2020-07-06,1,9.07,,,,dummy,screen-pattern-match.R,1.1131,0.9,3,4.3078,63
FPAY,2020-07-06,1,1.88,,,,dummy,screen-pattern-match.R,1.1124,0.6,6,2.0447,64
EDSA,2020-07-06,1,4.98,,,,dummy,screen-pattern-match.R,1.1120999999999999,0.9,6,3.2834,65
AFMD,2020-07-06,1,4.57,,,,dummy,screen-pattern-match.R,1.1109,0.7,2,1.1773,66
ARDS,2020-07-06,1,6.33,,,,dummy,screen-pattern-match.R,1.1107,0.6,3,10.6466,67
DUOT,2020-07-06,1,4.725,,,,dummy,screen-pattern-match.R,1.1094,0.5,5,14.8476,68
AGI,2020-07-06,1,9.3,,,,dummy,screen-pattern-match.R,1.1085,0.9,3,2.0897,69
ENG,2020-07-06,1,1.1,,,,dummy,screen-pattern-match.R,1.1083,0.7,7,5.6849,70
STRO,2020-07-06,1,7.44,,,,dummy,screen-pattern-match.R,1.1078,0.4,3,2.1443,71
NMCO,2020-07-06,1,12.08,,,,dummy,screen-pattern-match.R,1.1075,0.7,3,3.6632000000000002,72
MIRM,2020-07-06,1,20.15,,,,dummy,screen-pattern-match.R,1.1071,1,2,2.2246,73
OFSSZ,2020-07-06,1,24.5,,,,dummy,screen-pattern-match.R,1.107,0.9,4,2.6856,74
CNET,2020-07-06,1,1.04,,,,dummy,screen-pattern-match.R,1.1062,0.5,4,4.4742,75
ATRO,2020-07-06,1,9.91,,,,dummy,screen-pattern-match.R,1.1059,0.8,6,11.739799999999999,76
AVGOP,2020-07-06,1,1120.599976,,,,dummy,screen-pattern-match.R,1.1058999999999999,0.7,2,4.0688,77
KERN,2020-07-06,1,8.21,,,,dummy,screen-pattern-match.R,1.1053,0.5,4,20.1164,78
LK,2020-07-06,1,2.52,,,,dummy,screen-pattern-match.R,1.105,0.7,1,5.7038,79
LX,2020-07-06,1,11.59,,,,dummy,screen-pattern-match.R,1.1036,0.7,2,1.8904,80
CAN,2020-07-06,1,1.81,,,,dummy,screen-pattern-match.R,1.1035,0.7,1,4.3826,81
OPNT,2020-07-06,1,9.13,,,,dummy,screen-pattern-match.R,1.1031,0.4,4,3.1645,82
MDCA,2020-07-06,1,2.03,,,,dummy,screen-pattern-match.R,1.0997,0.7,5,1.9226,83
BHVN,2020-07-06,1,71.199997,,,,dummy,screen-pattern-match.R,1.0993,1,3,1.933,84
TXG,2020-07-06,1,89.989998,,,,dummy,screen-pattern-match.R,1.0987,1,2,3.2431,85
EPZM,2020-07-06,1,15.82,,,,dummy,screen-pattern-match.R,1.0985,0.8,5,3.418,86
DMPI,2020-07-06,1,0.628,,,,dummy,screen-pattern-match.R,1.097,0.6,6,9.401,87
LPTX,2020-07-06,1,2.07,,,,dummy,screen-pattern-match.R,1.097,0.7,5,9.3061,88
PTI,2020-07-06,1,1.37,,,,dummy,screen-pattern-match.R,1.0965,0.9,3,6.6356,89
SDI,2020-07-06,1,13.48,,,,dummy,screen-pattern-match.R,1.0964,0.7,3,4.3835,90
CALA,2020-07-06,1,5.15,,,,dummy,screen-pattern-match.R,1.0964,1,5,3.0577,91
XSPA,2020-07-06,1,4.02,,,,dummy,screen-pattern-match.R,1.0957,0.5,4,6.2451,92
GRTX,2020-07-06,1,7.21,,,,dummy,screen-pattern-match.R,1.0955,0.6,4,3.8672,93
ASM,2020-07-06,1,0.8,,,,dummy,screen-pattern-match.R,1.0954,1,4,1.658,94
FTDR,2020-07-06,1,42.889999,,,,dummy,screen-pattern-match.R,1.0947,1,2,6.1452,95
CGIX,2020-07-06,1,2.75,,,,dummy,screen-pattern-match.R,1.0943,0.6,3,4.158,96
MGNX,2020-07-06,1,29.5,,,,dummy,screen-pattern-match.R,1.0941,0.7,4,2.4745,97
CRBP,2020-07-06,1,7.95,,,,dummy,screen-pattern-match.R,1.0937,0.9,6,2.2085,98
PCRX,2020-07-06,1,52.369999,,,,dummy,screen-pattern-match.R,1.0934,0.9,2,1.4124,99
DXR,2020-07-06,1,17.1,,,,dummy,screen-pattern-match.R,1.0933,0.3,6,2.6111,100
CC,2020-07-06,1,15.67,,,,dummy,screen-pattern-match.R,1.0932,0.9,5,2.8474,101
CLIR,2020-07-06,1,2.36,,,,dummy,screen-pattern-match.R,1.092,0.6,5,2.0477,102
RCB,2020-07-06,1,19.08,,,,dummy,screen-pattern-match.R,1.0917999999999999,0.4,2,4.9834,103
CUBB,2020-07-06,1,21.25,,,,dummy,screen-pattern-match.R,1.0915,0.7,2,11.3989,104
BPMC,2020-07-06,1,79.150002,,,,dummy,screen-pattern-match.R,1.0895,0.8,4,2.2636,105
RNGR,2020-07-06,1,2.83,,,,dummy,screen-pattern-match.R,1.0887,0.8,3,2.3364000000000003,106
AIO,2020-07-06,1,19.98,,,,dummy,screen-pattern-match.R,1.0883,0.8,2,3.812,107
EYPT,2020-07-06,1,0.73,,,,dummy,screen-pattern-match.R,1.088,0.7,6,2.4458,108
LIVX,2020-07-06,1,3.77,,,,dummy,screen-pattern-match.R,1.0876,0.9,2,2.97,109
PRPH,2020-07-06,1,1.4,,,,dummy,screen-pattern-match.R,1.0876,0.4,5,3.3622,110
MREO,2020-07-06,1,3.08,,,,dummy,screen-pattern-match.R,1.0875,0.3,2,2.4392,111
DTIL,2020-07-06,1,8.42,,,,dummy,screen-pattern-match.R,1.087,0.9,4,4.071,112
ANIP,2020-07-06,1,30.889999,,,,dummy,screen-pattern-match.R,1.0868,0.7,5,3.415,113
RWLK,2020-07-06,1,1.39,,,,dummy,screen-pattern-match.R,1.0868,0.2,8,22.6865,114
NVTA,2020-07-06,1,31.719999,,,,dummy,screen-pattern-match.R,1.0866,0.7,2,1.1764999999999999,115
CATS,2020-07-06,1,25.889999,,,,dummy,screen-pattern-match.R,1.0859,0.6,8,6.4674,116
EYEN,2020-07-06,1,2.85,,,,dummy,screen-pattern-match.R,1.0856,0.6,3,5.6461,117
CASI,2020-07-06,1,2.43,,,,dummy,screen-pattern-match.R,1.0855,0.5,4,4.5963,118
ADMP,2020-07-06,1,0.54,,,,dummy,screen-pattern-match.R,1.0836999999999999,0.7,8,8.5704,119
SCCB,2020-07-06,1,23.098,,,,dummy,screen-pattern-match.R,1.0834,0.5,6,11.1867,120
AGMH,2020-07-06,1,19.6,,,,dummy,screen-pattern-match.R,1.0832,0.7,5,45.0309,121
VIE,2020-07-06,1,42.709999,,,,dummy,screen-pattern-match.R,1.0832,0.8,3,13.4684,122
BZUN,2020-07-06,1,42.16,,,,dummy,screen-pattern-match.R,1.0825,0.6,5,1.7636,123
BXC,2020-07-06,1,8.3,,,,dummy,screen-pattern-match.R,1.0825,0.5,5,2.1316,124
CVI,2020-07-06,1,18.700001,,,,dummy,screen-pattern-match.R,1.0824,0.9,5,7.0285,125
TRVI,2020-07-06,1,7.615,,,,dummy,screen-pattern-match.R,1.0822,0.6,3,1.5384,126
ZYXI,2020-07-06,1,25.120001,,,,dummy,screen-pattern-match.R,1.0821,0.5,7,2.122,127
SQ,2020-07-06,1,113.389999,,,,dummy,screen-pattern-match.R,1.082,1,3,0.8564,128
WSM,2020-07-06,1,83.199997,,,,dummy,screen-pattern-match.R,1.0818999999999999,0.7,6,2.1494,129
YIN,2020-07-06,1,6.43,,,,dummy,screen-pattern-match.R,1.0818,0.9,4,2.9281,130
XIN,2020-07-06,1,2.25,,,,dummy,screen-pattern-match.R,1.0817,0.5,5,3.5251,131
UEC,2020-07-06,1,0.88,,,,dummy,screen-pattern-match.R,1.0816,0.8,6,5.4596,132
AMED,2020-07-06,1,204.139999,,,,dummy,screen-pattern-match.R,1.0799,0.8,2,2.9346,133
LSCC,2020-07-06,1,28.91,,,,dummy,screen-pattern-match.R,1.0799,0.6,5,1.6155,134
PXS,2020-07-06,1,0.79,,,,dummy,screen-pattern-match.R,1.0794,0.9,4,3.2407,135
SALT,2020-07-06,1,15.14,,,,dummy,screen-pattern-match.R,1.0791,0.7,3,4.1953,136
CAR,2020-07-06,1,25.92,,,,dummy,screen-pattern-match.R,1.0784,0.5,6,2.6718,137
COFS,2020-07-06,1,29.219999,,,,dummy,screen-pattern-match.R,1.0783,0.5,4,10.0872,138
BWAY,2020-07-06,1,6.04,,,,dummy,screen-pattern-match.R,1.0781,0.8,3,2.7791,139
XGN,2020-07-06,1,12.75,,,,dummy,screen-pattern-match.R,1.0777,0.5,4,9.9673,140
PHAS,2020-07-06,1,4.39,,,,dummy,screen-pattern-match.R,1.0776000000000001,0.5,5,75.7409,141
SCPL,2020-07-06,1,15.35,,,,dummy,screen-pattern-match.R,1.0775,0.8,4,2.3701,142
CWK,2020-07-06,1,12.6,,,,dummy,screen-pattern-match.R,1.0759,0.9,4,5.2661,143
BNSO,2020-07-06,1,2.68,,,,dummy,screen-pattern-match.R,1.0757,0.3,3,2.1033,144
ATOM,2020-07-06,1,8.58,,,,dummy,screen-pattern-match.R,1.0755000000000001,0.9,6,4.3555,145
HEAR,2020-07-06,1,15.2,,,,dummy,screen-pattern-match.R,1.0753,0.6,5,1.6104,146
STAF,2020-07-06,1,0.98,,,,dummy,screen-pattern-match.R,1.0751,0.6,2,1.9243999999999999,147
ASLN,2020-07-06,1,1.98,,,,dummy,screen-pattern-match.R,1.0746,0.9,5,4.096,148
MAS,2020-07-06,1,50.139999,,,,dummy,screen-pattern-match.R,1.0739,0.9,6,1.7482,149
X,2020-07-06,1,7.07,,,,dummy,screen-pattern-match.R,1.0738,0.9,4,6.2129,150
AFINP,2020-07-06,1,23.059999,,,,dummy,screen-pattern-match.R,1.0732,0.6,5,3.1124,151
MTSL,2020-07-06,1,1.58,,,,dummy,screen-pattern-match.R,1.0728,0.6,6,2.8058,152
NVCN,2020-07-06,1,2.38,,,,dummy,screen-pattern-match.R,1.0728,0.3,6,10.0906,153
GBR,2020-07-06,1,1.16,,,,dummy,screen-pattern-match.R,1.0727,0.5,4,4.3928,154
ZG,2020-07-06,1,59.389999,,,,dummy,screen-pattern-match.R,1.0727,0.9,3,2.8755,155
XNET,2020-07-06,1,3.63,,,,dummy,screen-pattern-match.R,1.0723,0.7,6,5.6691,156
TLND,2020-07-06,1,36.75,,,,dummy,screen-pattern-match.R,1.0721,0.5,4,1.9855,157
GLYC,2020-07-06,1,3.76,,,,dummy,screen-pattern-match.R,1.072,0.9,4,1.6228,158
HCAT,2020-07-06,1,30,,,,dummy,screen-pattern-match.R,1.0716,1,2,4.3036,159
GNLN,2020-07-06,1,3.61,,,,dummy,screen-pattern-match.R,1.0708,0.6,3,3.5585,160
DRADP,2020-07-06,1,7.28,,,,dummy,screen-pattern-match.R,1.0707,0.9,1,4.0256,161
LWAY,2020-07-06,1,2.33,,,,dummy,screen-pattern-match.R,1.0707,0.8,6,11.3421,162
RBCN,2020-07-06,1,8.5,,,,dummy,screen-pattern-match.R,1.0706,0.7,5,3.5263999999999998,163
CSIQ,2020-07-06,1,20.040001,,,,dummy,screen-pattern-match.R,1.0705,0.7,5,2.6977,164
IPDN,2020-07-06,1,2.88,,,,dummy,screen-pattern-match.R,1.0702,0.7,5,1.3247,165
IMRN,2020-07-06,1,7.34,,,,dummy,screen-pattern-match.R,1.0698,0.7,5,5.5742,166
RDCM,2020-07-06,1,8.5,,,,dummy,screen-pattern-match.R,1.0697,0.7,6,1.5109,167
GPOR,2020-07-06,1,1.17,,,,dummy,screen-pattern-match.R,1.0695000000000001,0.9,3,6.3469999999999995,168
FPH,2020-07-06,1,4.47,,,,dummy,screen-pattern-match.R,1.0694,0.8,3,5.1572,169
RLGT,2020-07-06,1,4.09,,,,dummy,screen-pattern-match.R,1.0689,0.4,5,6.6727,170
PACD,2020-07-06,1,0.49,,,,dummy,screen-pattern-match.R,1.0687,0.7,5,23.5567,171
MBNKP,2020-07-06,1,16.030001,,,,dummy,screen-pattern-match.R,1.0685,0.5,1,129.9004,172
NVST,2020-07-06,1,21.4,,,,dummy,screen-pattern-match.R,1.0684,0.6,1,5.3156,173
ATEC,2020-07-06,1,4.96,,,,dummy,screen-pattern-match.R,1.068,0.6,7,6.0079,174
HOTH,2020-07-06,1,2.5,,,,dummy,screen-pattern-match.R,1.0679,0.7,4,4.0109,175
NHTC,2020-07-06,1,5.8,,,,dummy,screen-pattern-match.R,1.0677,0.7,6,7.7555,176
MCF,2020-07-06,1,2.24,,,,dummy,screen-pattern-match.R,1.0676999999999999,0.9,8,8.882,177
BSTC,2020-07-06,1,62.419998,,,,dummy,screen-pattern-match.R,1.0675,1,4,2.449,178
AUTO,2020-07-06,1,1.2,,,,dummy,screen-pattern-match.R,1.0673,0.9,5,3.6987,179
SGLB,2020-07-06,1,2.81,,,,dummy,screen-pattern-match.R,1.067,0.6,7,4.6185,180
TRXC,2020-07-06,1,0.35,,,,dummy,screen-pattern-match.R,1.0665,0.6,5,5.6873000000000005,181
CNXN,2020-07-06,1,46.07,,,,dummy,screen-pattern-match.R,1.0664,1,4,2.6633,182
MARA,2020-07-06,1,0.91,,,,dummy,screen-pattern-match.R,1.0664,0.4,5,3.9695,183
TIGR,2020-07-06,1,4.14,,,,dummy,screen-pattern-match.R,1.0663,0.9,2,2.703,184
CFX,2020-07-06,1,28.049999,,,,dummy,screen-pattern-match.R,1.0655999999999999,0.8,8,4.7432,185
BW,2020-07-06,1,2.23,,,,dummy,screen-pattern-match.R,1.0654,0.7,3,4.0485999999999995,186
